startdate,enddate,status,ipaddress,progress,duration,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q2,q3_1,q4_1,q5_1,q6,q7,q7_8_text,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17_1,q18_1,q18_2,q18_3,q21,q22,q23,q24,q25,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7,q26_8,q27_1,q31,q32_1,q32_2,q32_3,q32_4,q32_5,q32_6,q32_7,q41_1,q41_2,q41_3,q41_4,q41_5,q51,q52_1,q52_2,q52_3,q52_4,q53,q54_1,q54_2,q54_3,q55
2025-12-21 05:00:47,2025-12-21 05:10:44,IP Address,5.203.184.238,100,596,True,2025-12-21 05:10:44,R_8pXqFB7cX66AcJX,,,,,37.9842,23.7353,anonymous,EN,2002,Greece,Greece,English,Bachelor’s degree,"STEM (science, technology, engineering, mathematics)",,Employed full-time,About the same,"Job loss or major changes to how work is done,Use in warfare or violent conflict, making conflicts more dangerous,Loss of human control over important systems, where machines make decisions without enough human oversight",Probably not,"Having its own goals or intentions, not just following instructions",Often,The prompt is not accurate enough to convey my meaning ,Moderately important,Moderately confident,5.0,98,20,10,Daily,,,"Its an AI tool that works better than google, helps in search results, gives instant ideas, helps fast production",In terms of memory it can understand my basic and constant needs like code production. I also believe it learns patterns that I share with multiple individuals,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,It contains trained data to understand the meaning of prompts then proceeds to create the image,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,No,4,1,2,3,just right,99,100,75,
2025-12-21 05:03:19,2025-12-21 05:12:56,IP Address,94.70.214.122,100,577,True,2025-12-21 05:12:57,R_2v9227IUHMCfvje,,,,,41.1441,24.882,anonymous,EN,2002,Greece,Greece,Greek,Bachelor’s degree,Health / medical,,Employed full-time,Better,"Spread of fake news, scams, or manipulation of public opinion,Job loss or major changes to how work is done,Misuse in science, health, or biology, including unsafe or harmful applications",Probably yes,"Acting like a conscious being, even if it may not truly be conscious",I don’t use generative AI,,Extremely important,Moderately confident,0.5,6,2,5,Never,I dont know,It searches many websites in a matter of second,,,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Searches on the internet,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Some questions confused me,2,1,4,3,long,70,60,70,
2025-12-21 05:45:41,2025-12-21 05:55:26,IP Address,130.43.19.15,100,585,True,2025-12-21 05:55:27,R_8ePvKkNfIbp0Oqp,,,,,37.9842,23.7353,anonymous,EN,2002,Greece,Greece,Greek,Some college or university (no degree yet),Health / medical,,Student,Better,"Job loss or major changes to how work is done,Misuse in science, health, or biology, including unsafe or harmful applications",Probably not,"Having its own goals or intentions, not just following instructions",Rarely,Not having good and trustworthy sources of information ,Very important,Moderately confident,4.0,100,0,50,Weekly,"A texting app that can answer almost any questions you ask with key words, with a high percentage of accuracy ",Access to databases and a well developed and trained software,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Combining images on the web that match the description of the user ,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,No,4,3,1,2,just right,100,100,100,
2025-12-21 05:49:10,2025-12-21 05:55:38,IP Address,62.74.17.231,100,387,True,2025-12-21 05:55:38,R_8FIgAeNuF6kl76k,,,,,37.9842,23.7353,anonymous,EN,2002,Greece,Greece,English,Master’s degree,Other:,Shipping,Employed part-time,Better,"Spread of fake news, scams, or manipulation of public opinion,Misuse in science, health, or biology, including unsafe or harmful applications",Probably not,"Having inner experiences or feelings, like emotions or sensations",Often,Doesn’t have enough information to provide right answer ,Very important,Moderately confident,5.0,100,75,75,Weekly,,,A tool that helps you in any situation you can imagine as an advisor,Yes especially if you use a prompt to help him memorise what you said,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Based on the data it already has and the information that is accessible. It is able to generate images,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,No,3,2,4,1,just right,100,100,100,It is very good for the topic
2025-12-21 06:13:14,2025-12-21 06:30:24,IP Address,5.203.171.146,100,1029,True,2025-12-21 06:30:24,R_8FEz6k0O0vMChoH,,,,,37.9842,23.7353,anonymous,EN,2002,Greece,Greece,English,High school diploma / Secondary education,Health / medical,,Student,Better,"Spread of fake news, scams, or manipulation of public opinion,Job loss or major changes to how work is done,Misuse in science, health, or biology, including unsafe or harmful applications",Probably not,"Acting like a conscious being, even if it may not truly be conscious",Very often,It does not understand the question,Extremely important,Slightly confident,5.0,100,0,4,Daily,,,You ask a question and it answers,Sometimes it remembers.But other times tou have to repeat again and again but I believe it keeps the most important personal info,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Loaded info.assemble two pictures re allocate the pixels,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,3,4,2,1,just right,100,100,100,For people not familiar with AI its going to be boring
2025-12-21 07:03:00,2025-12-21 07:09:35,IP Address,109.178.88.127,100,394,True,2025-12-21 07:09:36,R_2NyyFp5iULQZnvX,,,,,37.9667,23.7167,anonymous,EN,2002,Greece,Greece,Greek,Bachelor’s degree,"STEM (science, technology, engineering, mathematics)",,Student,About the same,"Spread of fake news, scams, or manipulation of public opinion,Misuse in science, health, or biology, including unsafe or harmful applications,Use in warfare or violent conflict, making conflicts more dangerous",Probably yes,"Having its own goals or intentions, not just following instructions",Sometimes,Hard to determine data,Very important,Moderately confident,3.5,100,40,87,Weekly,You give it data and through libraries it gives you an answer ,It has libraries and uses them ,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,And can analyse pictures online and then uses them to create a new one ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,No,3,4,1,2,just right,100,100,100,
2025-12-22 09:50:37,2025-12-22 10:07:45,IP Address,31.61.181.171,100,1028,True,2025-12-22 10:07:46,R_8lbBdnel2cBgJH3,,,,,52.2509,21.0709,anonymous,EN,1999,Poland,Poland,English,Bachelor’s degree,"STEM (science, technology, engineering, mathematics)",,Employed part-time,Much better,"Job loss or major changes to how work is done,Use in warfare or violent conflict, making conflicts more dangerous,Loss of human control over important systems, where machines make decisions without enough human oversight",Probably not,Being aware of itself as an individual,Sometimes,I think it does not have enough training data and it just hallucniates stuff for the sake of responding at all. ,Very important,Moderately confident,4.0,90,60,10,Daily,,,"You tell it what to do or what to search for and it replies you in a chat format. It takes your sentence, thinks about it for a while, and they does the job you asked it to do. ",I think it remembers some things I told him. For example I told him I don't like spiders and in some other converstation he brough it up. I also told him I'm from Poland and he seems to refer to this in other chats. ,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,I really don't know. ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Some questions confused me,1,4,2,3,long,90,85,60,
2025-12-22 10:20:25,2025-12-22 10:23:11,IP Address,31.61.181.171,100,165,True,2025-12-22 10:23:12,R_2NCZK7sIdGn2dhy,,,,,52.2509,21.0709,anonymous,EN,1943,Algeria,Honduras,Malagasy,High school diploma / Secondary education,Social sciences,,Employed part-time,About the same,"Misuse in science, health, or biology, including unsafe or harmful applications",Definitely yes,"Acting like a conscious being, even if it may not truly be conscious",Rarely,https://tud365-my.sharepoint.com/:o:/r/personal/jpartyka_tudelft_nl/_layouts/15/doc2.aspx?sourcedoc=%7B290c8356-59c9-4148-94e5-6873da2fede3%7D&action=editnew,Not at all important,Moderately confident,4.0,34,25,11,Weekly,,,trash submission,trash submission,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,trash submission,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Some questions confused me,1,2,4,3,just right,100,57,52,trash submission. did we get the timing?
2025-12-23 12:55:00,2025-12-23 13:05:09,IP Address,83.87.36.189,100,609,True,2025-12-23 13:05:09,R_8PxUenuv2XbvMyZ,,,,,51.9905,4.3364,anonymous,EN,2002,Netherlands,Netherlands,English,Some college or university (no degree yet),"STEM (science, technology, engineering, mathematics)",,Student,About the same,"Spread of fake news, scams, or manipulation of public opinion,Hacking, data theft, or other digital security problems,Job loss or major changes to how work is done",Might or might not,"I’m not sure, or I mean something else",Sometimes,He doesn’t understand the question.,Moderately important,Slightly confident,3.5,91,5,6,Weekly,"Like Google, but smarter. And it’s easier to find your answer.",Data,,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,With pixels,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Some questions confused me,4,2,1,3,too long,69,69,69,
2025-12-24 03:35:01,2025-12-24 03:46:09,IP Address,172.225.137.213,100,668,True,2025-12-24 03:46:10,R_9Vz10J7ZjWUNAPs,,,,,18.5211,73.8502,anonymous,EN,1998,Australia,India,English,Master’s degree,"STEM (science, technology, engineering, mathematics)",,Employed full-time,Better,"Hacking, data theft, or other digital security problems,I do not think this technology poses any significant danger",Probably yes,Being aware of itself as an individual,Sometimes,Responding to something else which is stored in its memory which can be relevant to the currently asked questions ,Very important,Moderately confident,5.0,100,3,10,Daily,,,It works just as a google search engine but more specific to the questions you have or have asked it with,Yes. It stores the relevant data or previously asked questions  and it also maps your preferences ,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Haven’t used it so have got no clue ,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Some questions confused me,3,1,2,4,long,100,71,77,
2025-12-24 03:47:24,2025-12-24 03:53:30,IP Address,152.58.9.173,100,365,True,2025-12-24 03:53:31,R_9Suypr0SP19sNPz,,,,,18.5211,73.8502,anonymous,EN,1993,Australia,India,English,Master’s degree,Other:,Financial crime investigations ,Employed full-time,Much better,"Use in warfare or violent conflict, making conflicts more dangerous",Might or might not,"Having inner experiences or feelings, like emotions or sensations",Sometimes,I dont know ,Extremely important,Extremely confident,5.0,100,4,4,Multiple times daily,Amazing ,By asking gemini,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Using chatgpt,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,All of the questions confused me,2,1,4,3,too long,19,7,18,
2025-12-24 03:46:13,2025-12-24 04:13:12,IP Address,150.129.168.11,100,1619,True,2025-12-24 04:13:13,R_9M6C2aapeyijEyA,,,,,18.5211,73.8502,anonymous,EN,1966,India,India,English,Master’s degree,Business/economics,,Not in paid work for other reasons,Better,"Spread of fake news, scams, or manipulation of public opinion,Job loss or major changes to how work is done,Greater inequality where benefits mainly go to large companies or wealthy individuals",Probably not,"Having its own goals or intentions, not just following instructions",I don’t use generative AI,I think AI not understood the problem or work that is asked for as It is may not be put in correct words by user.,Very important,Not at all confident,3.0,64,3,1,Weekly,,,I don't know much about it but I think it can help you in many ways. It can give you suggestions to put your thoughts in correct words. Or it can analyse data given to it and put it in logical way.,Yes. ChatGPT learns from us. Just like child learn from small things but by bit.,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No idea,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Some questions confused me,2,3,4,1,long,61,82,51,
2025-12-24 03:57:17,2025-12-24 04:14:36,IP Address,77.175.145.85,100,1039,True,2025-12-24 04:14:36,R_8L1pTrVb14vJC0N,,,,,52.0907,4.2661,anonymous,EN,2004,Netherlands,Netherlands,English,Some college or university (no degree yet),"STEM (science, technology, engineering, mathematics)",,Student,Better,"Spread of fake news, scams, or manipulation of public opinion,Misuse in science, health, or biology, including unsafe or harmful applications",Probably not,"Having its own goals or intentions, not just following instructions",Sometimes,Makes a wrong assumption and reasons further with that,Extremely important,Moderately confident,4.0,90,33,10,Weekly,Starts with an short awnser based on your question and tries to find the next words in the sentence to complete the awnser ,Lot of data,,,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,"Creates a blurred image, and improves it in iterations until it thinks it looks like the image described",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,1,4,2,3,long,100,100,82,"'@Vic dit was geen 5 minuten, trek maar een bak"
