StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q40,Q61,Q1,Q2_1,Q3_1,Q4_1,Q5,Q6,Q7,Q7_8_TEXT,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,Q16,Q45_First Click,Q45_Last Click,Q45_Page Submit,Q45_Click Count,Q17,Q18,Q19,Q20,Q21,Q22_1,Q22_2,Q23_1,Q23_2,Q24_1,Q24_2,Q25_1,Q25_2,Q26_1,Q26_2,Q27_1,Q27_2,Q27_3,Q29,Q30,Q63_First Click,Q63_Last Click,Q63_Page Submit,Q63_Click Count,Q31,Q53_First Click,Q53_Last Click,Q53_Page Submit,Q53_Click Count,Q32,Q54_First Click,Q54_Last Click,Q54_Page Submit,Q54_Click Count,Q33,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q36,Q37,Q56_First Click,Q56_Last Click,Q56_Page Submit,Q56_Click Count,Q39,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q40_6,Q40_7,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,SC0,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you confirm that you have read and understood the information about this study and voluntarily agree to take part?,What is your Prolific ID?,Select your year of birth,Text,Text,Text,What is your highest education level?,Which best describes where you live?,What is your field of study/work? - Selected Choice,What is your field of study/work? - Other: - Text,What is your current employment status?,"Compared to others in your country, how would you rate the financial situation of your household?",How much control do you feel you have over how AI is used in your life?,"In your opinion, how likely is it that generative AI will pose a serious danger to humankind?","If you believe generative AI could cause harm, which types of harm seem most likely?
(Please select up to 3. If you don’t think it poses a risk, you may select “No danger.”)",Can today’s generative AI systems be conscious?,"When you say “conscious” in the previous question, which meaning are you thinking of?",Do you think AI systems can make mistakes?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Why do you think AI makes those mistakes? Explain in 2-3 sentences.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Why do you think AI can't make mistakes? Explain in 2-3 sentences.,How often do you personally encounter mistakes when using generative AI tools?,How important is it to you to be able to tell whether something was created by AI or by a person?,How confident are you that you could tell whether something was created by AI or by a person?,"To show that you are reading the instructions carefully, please select “Agree” below.",Please answer the following questions so that we can assess your familiarity with AI tools: - I can tell if I am dealing with an application based on artificial intelligence.,Please answer the following questions so that we can assess your familiarity with AI tools: - I can program new applications in the field of artificial intelligence.,"Please answer the following questions so that we can assess your familiarity with AI tools: - Although there are often new AI applications, I manage to always be up to date.",Please answer the following questions so that we can assess your familiarity with AI tools: - I can handle it when interactions with AI frustrate or frighten me.,Please answer the following questions so that we can assess your familiarity with AI tools: - I can weigh the consequences of using AI for society.,Please answer the following questions so that we can assess your familiarity with AI tools: - I can design new AI applications.,Please answer the following questions so that we can assess your familiarity with AI tools: - I can use artificial intelligence meaningfully to achieve my goals.,Please answer the following questions so that we can assess your familiarity with AI tools: - I can usually solve strenuous and complicated tasks well when working with artificial intelligence.,Please answer the following questions so that we can assess your familiarity with AI tools: - I can prevent an AI from influencing me in my decisions.,Please answer the following questions so that we can assess your familiarity with AI tools: - I can assess the advantages and disadvantages of using artificial intelligence.,How familiar are you with the following AI technologies? - ChatGPT,How familiar are you with the following AI technologies? - DALL·E,How familiar are you with the following AI technologies? - Sora,How often do you use ChatGPT?,Do you think ChatGPT learns from your individual conversations?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"If you had to describe how Chatgpt works to a friend, what would you say? Explain in 2-3 sentences.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How do you think Chatgpt can give answers about so many topics? Explain in 2-3 sentences.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What do you think ChatGPT learns from your individual conversations? Explain in 2-3 sentences.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Assuming ChatGPT does not learn from individual conversations, what do you believe determines the quality of its responses?  Explain in 2-3 sentences",Please indicate how much you agree or disagree with each statement: - ChatGPT mainly reuses information it has seen before.,Please indicate how much you agree or disagree with each statement: - ChatGPT can combine pieces of information in new ways.,Please indicate how much you agree or disagree with each statement: - ChatGPT can access up-to-date information from the internet when I ask.,Please indicate how much you agree or disagree with each statement: - ChatGPT stores my personal information for a long time.,Please indicate how much you agree or disagree with each statement: - ChatGPT changes how it works based on individual users.,Please indicate how much you agree or disagree with each statement: - ChatGPT follows rules it was trained on rather than thinking like a human.,Please indicate how much you agree or disagree with each statement: - ChatGPT is influenced by the culture or language of the person asking.,Please indicate how much you agree or disagree with each statement: - ChatGPT could produce harmful or biased information.,"When I use ChatGPT for important tasks, I double-check the information from another source.",Which of the following is a type of fruit?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In your own words, how do you think DALL·E creates images from text descriptions? Explain in 2-3 sentences.",Please indicate how much you agree or disagree with each statement: - DALL·E reuses parts of specific existing images.,Please indicate how much you agree or disagree with each statement: - DALL·E creates new combinations of things it has seen.,Please indicate how much you agree or disagree with each statement: - DALL·E can closely recreate particular artists’ styles.,Please indicate how much you agree or disagree with each statement: - DALL·E uses images taken from the internet without permission.,Please indicate how much you agree or disagree with each statement: - DALL·E is more like a tool people use than a creator by itself.,Please indicate how much you agree or disagree with each statement: - DALL·E stores copies of the images it creates.,Please indicate how much you agree or disagree with each statement: - DALL·E can create culturally biased or stereotypical images.,Please indicate how much you agree or disagree with each statement: - Sora can create videos very close to real recordings.,Please indicate how much you agree or disagree with each statement: - Sora mainly reuses patterns from videos it has seen before.,Please indicate how much you agree or disagree with each statement: - Sora makes it easier to create videos of people doing things they never did.,Please indicate how much you agree or disagree with each statement: - Sora can use online video footage of people without their knowledge.,Please indicate how much you agree or disagree with each statement: - Sora will make it harder for people to trust videos in general.,Score,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19""}","{""ImportId"":""QID88""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_8_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID79""}","{""ImportId"":""QID76""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID74""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID86""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID80_2""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID84_2""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID85_2""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID83_2""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID30""}","{""ImportId"":""QID77""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID104_FIRST_CLICK""}","{""ImportId"":""QID104_LAST_CLICK""}","{""ImportId"":""QID104_PAGE_SUBMIT""}","{""ImportId"":""QID104_CLICK_COUNT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID114_FIRST_CLICK""}","{""ImportId"":""QID114_LAST_CLICK""}","{""ImportId"":""QID114_PAGE_SUBMIT""}","{""ImportId"":""QID114_CLICK_COUNT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID6""}","{""ImportId"":""QID87""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID60_3""}","{""ImportId"":""QID60_4""}","{""ImportId"":""QID60_5""}","{""ImportId"":""QID60_6""}","{""ImportId"":""QID60_7""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID61_5""}","{""ImportId"":""SC_01WAHkdapsET14i""}","{""ImportId"":""PROLIFIC_PID""}"
2026-01-07 15:11:58,2026-01-07 15:25:06,IP Address,122.57.230.222,100,787,True,2026-01-07 15:25:07,R_4KuIJfUoGlwgzpc,,,,,-36.8504,174.7675,anonymous,EN,"Yes, I consent to participate in this study",653ff8ad4043d9212986eeb5,1974,New Zealand,New Zealand,English,Bachelor’s degree,Major city,Social sciences,,Employed full-time,About the same,A lot of control,Probably Not,"Spread of fake news, scams, or manipulation of public opinion,Hacking, data theft, or other digital security problems,Loss of human control over important systems, where machines make decisions without enough human oversight",Probably False,"Acting like a conscious being, even if it may not truly be conscious",Yes,1.606,55.853,55.871,2,"Because it is only as good as the training it has been given. For example, ChatGPT has a poor understanding of NZ history because it primarily has been trained on American and European histories.",,,,,,Often,Definitely important,Definitely confident,Agree,9,1,5,9,6,0,10,10,7,10,10,0,0,Multiple times daily,Yes,1.901,237.873,237.882,3,"Chat GPT is like having a brainstorming buddy. You can ask it questions, which it will find the answer too. Sometimes you need to tweak the prompt you ask, to get more specific information, just like you would probe deeper in a real-life conversation with another person. Also, just like with human interaction, not everything is accurate, so it is important to corroborate the information that Chatgpt provides to ensure that it is accurate. Important decisions, such as those involving heath queries and financial advise should be made with qualified professional input. Chatgpt in these instances is best viewed as an initial conversation/brainstorm like you would have with an unqualified friend.",,,,,,1.844,119.365,119.38,2,"Chatgpt remembers how I like to structure my professional emails and subsequently now writes my professional emails accordingly. Chatgpt is better at assisting me in planning my travel, because it remembers that I prefer active holidays where I explore cultural activities.  With my new holidays I am planning, it is able to make me more accurate suggestions for activities that I may like.",,,,,,Probably True,Definitely True,Definitely True,Definitely True,Definitely True,Probably True,Probably True,Definitely True,Always,Apple,1.888,68.174,68.186,2,It has been trained to recognise images based upon text descriptions. In this way it can draw upon that knowledge base to create image on additional text descriptions.,Definitely True,Definitely True,Probably True,I don’t know,Definitely True,Probably True,Probably True,Definitely True,Probably True,Definitely True,Probably True,Probably True,2,653ff8ad4043d9212986eeb5
2026-01-07 15:20:11,2026-01-07 15:28:21,IP Address,101.115.131.228,100,489,True,2026-01-07 15:28:22,R_9pg8Vz9xfmnAXaE,,,,,-37.834,144.9832,anonymous,EN,"Yes, I consent to participate in this study",6924de4204f56ab6304ebaf1,1990,Australia,Australia,English,Bachelor’s degree,Major city,Other:,Education,Employed full-time,Better,Some control,Probably Not,"Hacking, data theft, or other digital security problems,Job loss or major changes to how work is done,Loss of human control over important systems, where machines make decisions without enough human oversight",Probably True,"Having its own goals or intentions, not just following instructions",Yes,1.607,42.218,42.252,2,"AI has sometimes presented inaccurate information based on prompts given. I might instruct it to complete a task and it does not interpret al of the prompt correctly and miss instructions out. ",,,,,,Sometimes,Definitely important,Probably not confident,Agree,4,,2,7,6,1,9,7,3,8,10,7,7,Weekly,Yes,1.313,73.479,73.516,2,"Chat GPT acts as a conversational participant that accesses all data on the Internet to make accurate recommendations and interpret large data sets. It is able to process information and data much quicker than a human and present information back to you in a meaningful way. ",1.258,62.769,62.799,4,"Chat GPT is similar to Google in that it reviews accessible information that relates to keys but suggests more clear information rather than pages of information. It also learns from previous interactions and whether they were helpful to the user. ",,,,,,,,,,,Probably True,Definitely True,Definitely True,Probably True,Definitely True,Probably True,Probably True,Probably True,Most of the time,Apple,1.514,38.42,38.434,2,"I think it acts similarly to Chat GPT but draws on visual information available on the internet. Instead of reviewing language maybe it draws on images online that align with keywords. ",Probably True,Definitely True,Definitely True,I don’t know,Probably True,I don’t know,Definitely True,Definitely True,Definitely True,Definitely True,I don’t know,Definitely True,2,6924de4204f56ab6304ebaf1
2026-01-07 15:19:07,2026-01-07 15:28:28,IP Address,99.245.161.152,100,561,True,2026-01-07 15:28:28,R_7KUnE2ZkXFTawSZ,,,,,43.6098,-79.6724,anonymous,EN,"Yes, I consent to participate in this study",5c389f3df5ebd5000184e3e6,1989,Canada,Canada,English,Bachelor’s degree,Major city,"STEM (science, technology, engineering, mathematics)",,Employed part-time,About the same,Complete control,Definitely Not,I do not think this technology poses any significant danger,Definitely False,Being aware of itself as an individual,Yes,2.629,51.856,51.858,2,Because it may not understand the problem. Because it can only do whatever it is coded by a human. It cannot adapt in an intelligent way.,,,,,,Often,Definitely important,Probably confident,Agree,6,1,6,6,6,2,7,7,10,6,10,6,2,Multiple times daily,No,2.373,47.084,47.086,2,"It's an AI language model that you can chat with. It can help solve problems, ask for suggestions and so on.",,,,,,,,,,,4.876,24.271,24.273,2,"It determines on the quality of the code that is used to code it, the quality of data that it uses.",Definitely True,Probably True,Probably True,Definitely False,Definitely False,Definitely True,Probably True,Probably True,Sometimes,Apple,4.742,61.602,61.604,2,It uses the code that is programmed with and then probably uses a statistical model to create an image that would likely satisfy a text description.,Probably True,Probably True,Probably True,Probably True,I don’t know,I don’t know,Probably True,Probably True,Probably True,Probably True,Probably True,Probably True,2,5c389f3df5ebd5000184e3e6
